$$best

0.12	0.85	2.09
0.28	0.60	-1.57
0.17	0.72	4.71
0.24	0.58	0.79
0.33	0.42	3.93
0.21	0.25	5.68
0.15	0.18	6.11
0.29	0.22	4.93
0.11	0.28	5.75
0.25	0.15	6.24
0.19	0.12	5.36
0.31	0.27	4.44
0.22	0.21	5.88
0.13	0.30	6.72
0.26	0.14	4.97
0.18	0.26	5.14
0.30	0.19	4.03
0.20	0.23	6.45
0.14	0.17	5.82
0.32	0.29	4.29
0.23	0.24	5.17
0.16	0.31	5.95
0.27	0.16	4.62
0.19	0.20	6.10
0.12	0.27	5.47
0.50	0.58	6.10
1.05	0.20	1.23
0.90	0.32	-0.87
0.82	0.28	3.14
1.20	0.15	0.44
0.75	0.23	5.24
1.10	0.25	2.65
1.18	0.18	1.87
0.88	0.28	4.12
1.05	0.22	0.93
1.12	0.30	2.18
0.95	0.18	2.77
1.15	0.27	0.52
1.00	0.20	4.98
0.85	0.29	1.36
1.20	0.24	3.05
1.10	0.17	5.05
0.80	0.30	2.93
0.92	0.21	4.78
1.18	0.26	2.19
1.05	0.19	3.74


# stormy
0.504	-1.571	0.225
0.484	-1.190	0.202
0.471	-1.249	0.237
0.430	-1.571	0.188
0.405	-1.107	0.252
0.399	-1.571	0.263
0.398	-1.429	0.265
0.385	-1.893	0.237
0.381	-1.951	0.202
0.372	-1.713	0.265
0.365	-0.927	0.188
0.332	-0.983	0.270
0.327	-0.785	0.212
0.326	-1.166	0.286
0.313	-2.034	0.252
0.294	-0.785	0.265
0.278	-1.976	0.286
0.277	-1.107	0.168
0.276	-0.644	0.187
0.268	-2.214	0.188

Large, Rolling Waves (Low Frequency, High Amplitude):
1.05	0.20	1.23
0.90	0.32	-0.87
0.82	0.28	3.14
1.20	0.15	0.44
0.75	0.23	5.24
1.10	0.25	2.65
1.18	0.18	1.87
0.88	0.28	4.12
1.05	0.22	0.93
1.12	0.30	2.18
0.95	0.18	2.77
1.15	0.27	0.52
1.00	0.20	4.98
0.85	0.29	1.36
1.20	0.24	3.05
1.10	0.17	5.05
0.80	0.30	2.93
0.92	0.21	4.78
1.18	0.26	2.19
1.05	0.19	3.74

Choppy, Wind-Generated Waves (High Frequency, Low Amplitude):

0.12	0.85	2.09
0.28	0.60	-1.57
0.17	0.72	4.71
0.24	0.58	0.79
0.33	0.42	3.93
0.21	0.25	5.68
0.15	0.18	6.11
0.29	0.22	4.93
0.11	0.28	5.75
0.25	0.15	6.24
0.19	0.12	5.36
0.31	0.27	4.44
0.22	0.21	5.88
0.13	0.30	6.72
0.26	0.14	4.97
0.18	0.26	5.14
0.30	0.19	4.03
0.20	0.23	6.45
0.14	0.17	5.82
0.32	0.29	4.29
0.23	0.24	5.17
0.16	0.31	5.95
0.27	0.16	4.62
0.19	0.20	6.10
0.12	0.27	5.47

Medium Waves with Varying Direction (Balance of Amplitude & Frequency):

0.48	0.47	0.00
0.52	0.50	1.57
0.67	0.38	3.14
0.42	0.55	4.71
0.38	0.63	-1.57
0.55	0.42	0.79
0.62	0.58	1.18
0.49	0.46	2.36
0.58	0.51	3.95
0.67	0.44	5.28
0.41	0.56	0.36
0.49	0.49	1.69
0.59	0.60	2.87
0.45	0.39	4.45
0.54	0.54	5.72
0.65	0.41	0.82
0.47	0.48	2.04
0.57	0.61	3.21
0.43	0.43	4.79
0.51	0.57	5.98
0.63	0.45	0.91
0.46	0.50	2.12
0.56	0.62	3.34
0.40	0.45	4.93
0.50	0.58	6.10






# Stormy Waves (Low Frequency, High Amplitude):
0.65 0.22 3.12
0.72 0.20 4.55
0.58 0.23 1.76
0.71 0.21 2.94
0.60 0.24 5.27
0.68 0.19 0.98
0.76 0.18 4.12
0.62 0.22 1.43
0.54 0.25 2.87
0.78 0.20 4.09

# Large, Rolling Waves (Low Frequency, High Amplitude):
1.12 0.20 -2.34
1.05 0.15 1.87
1.18 0.22 -0.98
1.00 0.25 -3.45
1.20 0.18 2.67
1.08 0.23 -1.12
1.15 0.27 -2.89
1.10 0.24 3.14
1.03 0.21 -0.54
1.25 0.22 2.36

# Choppy, Wind-Generated Waves (High Frequency, Low Amplitude):
0.32 0.14 5.98
0.21 0.12 4.11
0.38 0.13 -2.75
0.27 0.15 1.90
0.35 0.16 -3.20
0.29 0.17 0.88
0.17 0.18 -1.67
0.40 0.20 3.74
0.26 0.19 -0.52
0.19 0.21 2.03

# Medium Waves with Varying Direction (Balance of Amplitude & Frequency):
0.50 0.47 -1.34
0.43 0.40 0.87
0.36 0.38 2.12
0.55 0.45 -0.95
0.62 0.42 1.78
0.48 0.39 -2.36
0.57 0.44 0.63
0.41 0.41 1.89
0.59 0.43 -1.15
0.53 0.46 2.54
